,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
26,2020-08-07,104.9,258,-5.8,▼,-6.0,-5.2,inaros_prime_set
3,2020-08-07,36.5,179,0.2,▲,-23.0,0.6,mesa_prime_set
19,2020-08-07,38.5,174,4.3,▲,-42.0,12.6,wukong_prime_set
228,2020-08-07,44.8,173,0.2,▲,25.0,0.4,arcane_grace
6,2020-08-07,47.7,161,0.2,▲,-52.0,0.4,ivara_prime_set
25,2020-08-07,35.5,140,0.9,▲,-24.0,2.6,atlas_prime_set
1,2020-08-07,34.7,138,0.2,▲,-20.0,0.6,equinox_prime_set
393,2020-08-07,127.1,110,-1.8,▼,41.0,-1.4,weeping_wounds
7,2020-08-07,41.7,102,0.8,▲,-14.0,2.0,chroma_prime_set
95,2020-08-07,73.2,98,-6.4,▼,-7.0,-8.0,karyst_prime_set
