,datetime,avg_price,volume,day_before,yn_before,lank,day_percent,name
19,2020-08-07,38.5,174,4.3,▲,-42.0,12.6,wukong_prime_set
264,2020-08-07,51.7,48,4.5,▲,-3.0,9.5,high_voltage
27,2020-08-07,51.6,49,2.2,▲,-52.0,4.5,baza_prime_set
120,2020-08-07,33.5,24,1.4,▲,0.0,4.4,rakta_dark_dagger
124,2020-08-07,38.1,12,1.4,▲,-4.0,3.8,sancti_magistar
101,2020-08-07,39.7,22,1.3,▲,-1.0,3.4,secura_penta
392,2020-08-07,55.8,23,1.8,▲,6.0,3.3,voltaic_strike
343,2020-08-07,54.9,12,1.6,▲,7.0,3.0,primed_heated_charge
25,2020-08-07,35.5,140,0.9,▲,-24.0,2.6,atlas_prime_set
93,2020-08-07,47.2,22,1.2,▲,24.0,2.6,imperator_vandal_set
